"","pid","firstblock","congruent","incongruent","IATscore"
"1","2874231","congruent",643.663863634257,853.488947370543,209.825083736286
"2","2887782","congruent",755.737608695674,1064.93523809557,309.197629399895
"3","2902933","incongruent",847.160217382581,1265.64431817546,418.48410079288
"4","2912330","congruent",649.1347222228,544.199230768678,-104.935491454123
"5","3735601","congruent",1529.90909090909,1203.375,-326.534090909095
"6","2878349","congruent",1056.66954544987,1410.39568179986,353.726136349989
"7","2906179","incongruent",765.91020833348,727.896818182258,-38.0133901512228
"8","2921282","congruent",1479.1955882341,1405.50583335183,-73.6897548822708
"9","2921652","congruent",808.089523809527,816.268636363638,8.17911255411093
"10","3730237","congruent",1192.21549999638,1387.45217391356,195.236673917172
"11","3731661","congruent",664.11347824412,1047.77976189784,383.666283653724
"12","3734675","incongruent",1048.99847826164,1110.44739130423,61.4489130425884
"13","3734775","congruent",1088.69431818179,1284.7895454536,196.095227271806
"14","5891983","congruent",964.077272727265,1193.49499999999,229.417727272723
"15","10068596","congruent",628.610000000149,779.150000000745,150.540000000596
"16","10110660","congruent",833.333333333334,1139.24000000954,305.906666676203
"17","10106060","incongruent",772.181818181818,664.478260869568,-107.70355731225
"18","10107554","incongruent",781.22916666915,937.716666668653,156.487499999503
"19","5060921","congruent",714.743478261906,789.859090908007,75.1156126461012
"20","5062159","congruent",781.526086973108,917.762500007948,136.23641303484
"21","5065192","congruent",688.727272727274,742.608695652174,53.8814229248999
"22","5068310","congruent",754.304166669647,882.011111113759,127.706944444113
"23","5069615","incongruent",788.374999997517,755.79999999851,-32.5749999990068
"24","5072298","congruent",1052.9055555558,667.538095238486,-385.367460317319
"25","7412226","incongruent",930.354166686534,1058.3590909351,128.004924248566
"26","7416735","congruent",685.630000000261,909.394117647016,223.764117646755
"27","7401215","congruent",797.766666667447,1004.47368421013,206.707017542687
"28","7402002","incongruent",647.171428571433,656.519047618977,9.34761904754396
