Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Randomise questionnaire elements?,Question Key,Response
1,1636989060290,15/11/2021 15:11:00,1636989059346,0,15/11/2021 15:10:59,68854,2,questionnaire-hax2,,17165235,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,Att_society,2,society,,No,BEGIN QUESTIONNAIRE,
2,1636989123014,15/11/2021 15:12:03,1636989122098,0,15/11/2021 15:12:02,68854,2,questionnaire-hax2,,17165235,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,Att_society,2,society,,No,response-2,69
3,1636989123159,15/11/2021 15:12:03,1636989122099,0,15/11/2021 15:12:02,68854,2,questionnaire-hax2,,17165235,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,Att_society,2,society,,No,END QUESTIONNAIRE,62753
1,1636834115428,13/11/2021 20:08:35,1636834115376,0,13/11/2021 20:08:35,68854,2,questionnaire-hax2,,17134618,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,Att_society,2,society,,No,BEGIN QUESTIONNAIRE,
2,1636834160470,13/11/2021 20:09:20,1636834160463,0,13/11/2021 20:09:20,68854,2,questionnaire-hax2,,17134618,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1223x553,,Att_society,2,society,,No,response-2,50
3,1636834160560,13/11/2021 20:09:20,1636834160464,0,13/11/2021 20:09:20,68854,2,questionnaire-hax2,,17134618,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1223x553,,Att_society,2,society,,No,END QUESTIONNAIRE,45088
1,1667811417757,07/11/2022 08:56:57,1667811417603,0,07/11/2022 08:56:57,68854,2,questionnaire-hax2,,25059428,BLIND,7401215,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1429x711,,Att_society,2,society,,No,BEGIN QUESTIONNAIRE,
2,1667811550452,07/11/2022 08:59:10,1667811550313,0,07/11/2022 08:59:10,68854,2,questionnaire-hax2,,25059428,BLIND,7401215,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1414x711,,Att_society,2,society,,No,response-2,23
3,1667811550571,07/11/2022 08:59:10,1667811550314,0,07/11/2022 08:59:10,68854,2,questionnaire-hax2,,25059428,BLIND,7401215,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1414x711,,Att_society,2,society,,No,END QUESTIONNAIRE,132711
1,1667928960354,08/11/2022 17:36:00,1667928960375,0,08/11/2022 17:36:00,68854,2,questionnaire-hax2,,25113067,BLIND,7416735,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1536x864,1490x754,,Att_society,2,society,,No,BEGIN QUESTIONNAIRE,
2,1667929056582,08/11/2022 17:37:36,1667929056637,0,08/11/2022 17:37:36,68854,2,questionnaire-hax2,,25113067,BLIND,7416735,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1536x864,1473x754,,Att_society,2,society,,No,response-2,99
3,1667929056633,08/11/2022 17:37:36,1667929056641,0,08/11/2022 17:37:36,68854,2,questionnaire-hax2,,25113067,BLIND,7416735,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1536x864,1473x754,,Att_society,2,society,,No,END QUESTIONNAIRE,96266
1,1636927594578,14/11/2021 22:06:34,1636927594463,0,14/11/2021 22:06:34,68854,2,questionnaire-hax2,,17150894,BLIND,5065192,,complete,,,tablet,Apple iPad,iOS 15.0,Chrome 95.0.4638.50,810x1080,1080x695,,Att_society,2,society,,No,BEGIN QUESTIONNAIRE,
2,1636927714981,14/11/2021 22:08:34,1636927714774,0,14/11/2021 22:08:34,68854,2,questionnaire-hax2,,17150894,BLIND,5065192,,complete,,,tablet,Apple iPad,iOS 15.0,Chrome 95.0.4638.50,810x1080,1080x695,,Att_society,2,society,,No,response-2,69
3,1636927715068,14/11/2021 22:08:35,1636927714777,0,14/11/2021 22:08:34,68854,2,questionnaire-hax2,,17150894,BLIND,5065192,,complete,,,tablet,Apple iPad,iOS 15.0,Chrome 95.0.4638.50,810x1080,1080x695,,Att_society,2,society,,No,END QUESTIONNAIRE,120315
END OF FILE
